database_name,TABLE_NAME,COLUMN_NAME,DATA_TYPE,maximum_length
audit_log_final,artifact,entity_name,varchar,50
audit_log_final,artifact,field_type,varchar,50
audit_log_final,artifact,filename_extension,varchar,50
audit_log_final,artifact,ar_key,text,65535
audit_log_final,artifact,ar_path,text,65535
audit_log_final,artifact,store_type_path,text,65535
audit_log_final,artifact_part,etag,varchar,255
audit_log_final,artifact_store,client_key,text,65535
audit_log_final,artifact_store,cloud_storage_file_path,text,65535
audit_log_final,artifact_store,cloud_storage_key,text,65535
audit_log_final,artifact_store,entity_name,varchar,50
audit_log_final,attribute,entity_name,varchar,50
audit_log_final,attribute,field_type,varchar,50
audit_log_final,attribute,kv_key,text,65535
audit_log_final,attribute,kv_value,text,65535
audit_log_final,audit_service_local_audit_log,method_name,text,65535
audit_log_final,audit_service_local_audit_log,request,longtext,4294967295
audit_log_final,audit_service_local_audit_log,response,longtext,4294967295
audit_log_final,branch,branch,varchar,255
audit_log_final,code_version,field_type,varchar,50
audit_log_final,comment,entity_name,varchar,255
audit_log_final,commit,message,text,65535
audit_log_final,commit,author,varchar,50
audit_log_final,commit,root_sha,varchar,64
audit_log_final,dataset,description,text,65535
audit_log_final,dataset,name,varchar,255
audit_log_final,dataset,owner,varchar,255
audit_log_final,dataset,workspace,varchar,255
audit_log_final,dataset_part_info,checksum,varchar,255
audit_log_final,dataset_part_info,entity_name,varchar,50
audit_log_final,dataset_part_info,field_type,varchar,50
audit_log_final,dataset_part_info,path,varchar,255
audit_log_final,dataset_version,description,text,65535
audit_log_final,dataset_version,owner,varchar,255
audit_log_final,docker_environment_blob,repository,varchar,255
audit_log_final,docker_environment_blob,tag,varchar,255
audit_log_final,docker_environment_blob,sha,varchar,255
audit_log_final,environment_command_line,command,text,65535
audit_log_final,environment_variables,variable_name,varchar,255
audit_log_final,environment_variables,variable_value,varchar,255
audit_log_final,experiment,description,text,65535
audit_log_final,experiment,name,varchar,255
audit_log_final,experiment,owner,varchar,255
audit_log_final,experiment_run,code_version,varchar,255
audit_log_final,experiment_run,description,text,65535
audit_log_final,experiment_run,name,varchar,255
audit_log_final,experiment_run,owner,varchar,255
audit_log_final,experiment_run,environment,text,65535
audit_log_final,feature,entity_name,varchar,50
audit_log_final,feature,feature,text,65535
audit_log_final,folder_element,element_sha,varchar,64
audit_log_final,folder_element,element_name,varchar,200
audit_log_final,folder_element,element_type,varchar,50
audit_log_final,git_code_blob,repo,varchar,255
audit_log_final,git_code_blob,branch,varchar,50
audit_log_final,git_code_blob,tag,varchar,255
audit_log_final,git_snapshot,field_type,varchar,50
audit_log_final,git_snapshot,repo,varchar,255
audit_log_final,git_snapshot_file_paths,file_paths,varchar,255
audit_log_final,hyperparameter_element_config_blob,name,varchar,255
audit_log_final,hyperparameter_element_config_blob,string_value,varchar,255
audit_log_final,hyperparameter_element_mapping,name,varchar,255
audit_log_final,hyperparameter_element_mapping,entity_type,varchar,50
audit_log_final,hyperparameter_element_mapping,string_value,varchar,255
audit_log_final,hyperparameter_set_config_blob,name,varchar,255
audit_log_final,job,description,text,65535
audit_log_final,job,end_time,varchar,255
audit_log_final,job,owner,varchar,255
audit_log_final,job,start_time,varchar,255
audit_log_final,key_value_property_mapping,property_name,varchar,256
audit_log_final,key_value_property_mapping,kv_key,varchar,50
audit_log_final,key_value_property_mapping,kv_value,text,65535
audit_log_final,keyvalue,entity_name,varchar,50
audit_log_final,keyvalue,field_type,varchar,50
audit_log_final,keyvalue,kv_key,text,65535
audit_log_final,keyvalue,kv_value,text,65535
audit_log_final,labels_mapping,label,varchar,50
audit_log_final,metadata_property_mapping,commit_sha,varchar,256
audit_log_final,metadata_property_mapping,location,varchar,256
audit_log_final,metadata_property_mapping,metadata_key,varchar,50
audit_log_final,metadata_property_mapping,metadata_value,text,65535
audit_log_final,migration_status,migration_name,varchar,255
audit_log_final,modeldb_deployment_info,md_key,varchar,50
audit_log_final,modeldb_deployment_info,md_value,varchar,255
audit_log_final,observation,entity_name,varchar,50
audit_log_final,observation,field_type,varchar,50
audit_log_final,path_dataset_component_blob,md5,text,65535
audit_log_final,path_dataset_component_blob,path,text,65535
audit_log_final,path_dataset_component_blob,sha256,text,65535
audit_log_final,path_dataset_component_blob,internal_versioned_path,text,65535
audit_log_final,path_dataset_component_blob,base_path,text,65535
audit_log_final,path_dataset_version_info,base_path,varchar,255
audit_log_final,path_dataset_version_info,field_type,varchar,50
audit_log_final,project,description,text,65535
audit_log_final,project,name,varchar,255
audit_log_final,project,owner,varchar,255
audit_log_final,project,readme_text,text,65535
audit_log_final,project,short_name,varchar,255
audit_log_final,project,workspace,varchar,255
audit_log_final,python_environment_blob,suffix,varchar,50
audit_log_final,python_environment_requirements_blob,library,varchar,255
audit_log_final,python_environment_requirements_blob,python_constraint,varchar,255
audit_log_final,python_environment_requirements_blob,suffix,varchar,50
audit_log_final,query_dataset_component_blob,query,text,65535
audit_log_final,query_dataset_component_blob,data_source_uri,text,65535
audit_log_final,query_dataset_version_info,data_source_uri,varchar,255
audit_log_final,query_dataset_version_info,field_type,varchar,50
audit_log_final,query_dataset_version_info,query,text,65535
audit_log_final,query_dataset_version_info,query_template,text,65535
audit_log_final,query_parameter,entity_name,varchar,50
audit_log_final,query_parameter,field_type,varchar,50
audit_log_final,query_parameter,parameter_name,text,65535
audit_log_final,query_parameter,parameter_value,text,65535
audit_log_final,raw_dataset_version_info,checksum,varchar,255
audit_log_final,raw_dataset_version_info,field_type,varchar,50
audit_log_final,raw_dataset_version_info,object_path,varchar,255
audit_log_final,repository,name,varchar,256
audit_log_final,repository,owner,varchar,255
audit_log_final,repository,description,text,65535
audit_log_final,s3_dataset_component_blob,md5,text,65535
audit_log_final,s3_dataset_component_blob,path,text,65535
audit_log_final,s3_dataset_component_blob,sha256,text,65535
audit_log_final,s3_dataset_component_blob,internal_versioned_path,text,65535
audit_log_final,s3_dataset_component_blob,base_path,text,65535
audit_log_final,tag,tag,varchar,255
audit_log_final,tag_mapping,entity_name,varchar,50
audit_log_final,tag_mapping,tags,text,65535
audit_log_final,telemetry_information,tel_key,varchar,50
audit_log_final,telemetry_information,tel_value,varchar,255
audit_log_final,telemetry_information,telemetry_consumer,varchar,256
audit_log_final,user_comment,entity_name,varchar,50
audit_log_final,user_comment,message,varchar,255
audit_log_final,user_comment,owner,varchar,255
audit_log_final,versioning_modeldb_entity_mapping,commit,varchar,64
audit_log_final,versioning_modeldb_entity_mapping,versioning_key,varchar,50
audit_log_final,versioning_modeldb_entity_mapping,versioning_location,text,65535
audit_log_final,versioning_modeldb_entity_mapping,entity_type,varchar,50
audit_log_final,versioning_modeldb_entity_mapping_config_blob,versioning_modeldb_entity_mapping_commit,varchar,64
audit_log_final,versioning_modeldb_entity_mapping_config_blob,versioning_modeldb_entity_mapping_versioning_key,varchar,50
audit_log_final,versioning_modeldb_entity_mapping_config_blob,versioning_modeldb_entity_mapping_entity_type,varchar,50
registry_db,activity,comment,text,65535
registry_db,alert,name,varchar,255
registry_db,artifact,ar_key,text,65535
registry_db,artifact,ar_path,text,65535
registry_db,artifact,filename_extension,varchar,50
registry_db,artifact,store_type_path,text,65535
registry_db,artifact_part,etag,varchar,255
registry_db,audit_service_local_audit_log,method_name,varchar,255
registry_db,audit_service_local_audit_log,request,longtext,4294967295
registry_db,audit_service_local_audit_log,response,longtext,4294967295
registry_db,data_source,name,varchar,255
registry_db,data_source,data_source_reference,varchar,255
registry_db,model_version,version,varchar,255
registry_db,model_version,description,text,65535
registry_db,model_version,readme_text,text,65535
registry_db,model_version,environment,text,65535
registry_db,model_version,owner,varchar,255
